"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",2638.92761934608,2010.33345874896,3447.89535295834
"Std Dev (σ)",1.62873331519109,1.31645046564177,2.00875748401552
"Mark Precision (τ)",0.961520778279928,0.842788262269377,1.10230278965913
