"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",3441.09065713742,2026.52272070803,5654.95966990351
"Std Dev (σ)",2.06121898779872,1.4176907264177,2.97961636649866
"Mark Precision (τ)",1.84247368957244,1.30783921425987,2.60762004461903
