latitude,longitude,area
-25.65562228,28.14823164,321.0832075
-25.65579203,28.14785566,765.050511
-25.6556755,28.14845141,173.5669364
-25.65731027,28.15117833,463.9942617
-25.65721092,28.15082301,41.61657585
-25.66482288,28.18121089,195.8746217
-25.65930614,28.17969357,3581.250823
-25.65769709,28.18062656,573.7380787
-25.65772887,28.18021009,426.5254203
-25.65792306,28.17974204,1147.623498
-25.65820892,28.1673499,108.4659096
-25.65230692,28.13694017,8370.264852
-25.67081276,28.16150178,335.8628212
-25.67103104,28.16143995,75.44565664
-25.67025145,28.16129721,466.0767927
-25.66986915,28.16084342,327.0314641
-25.66976755,28.16002166,254.9699348
-25.66961478,28.1600204,92.02639993
-25.6695364,28.15954812,110.6911117
-25.66111153,28.18844647,252.2292138
-25.66714754,28.1812318,166.6238758
-25.66726686,28.18147352,396.8688369
-25.66959588,28.18021401,107.199946
-25.65823345,28.16363443,90.77966056
-25.65864522,28.16522273,256.7379896
-25.66356739,28.14569765,428.572135
-25.66389096,28.14971254,198.8854257
-25.66371696,28.15070523,93.46662041
-25.66172266,28.14328356,101.5600071
-25.66164938,28.14392934,200.7826056
-25.66828129,28.19475411,84.7606523
-25.66826686,28.19498286,58.16652714
-25.67636305,28.28798201,485.850579
-25.67684671,28.28900412,83.64838751
-25.75088924,28.37373373,145.3370725
-25.75095676,28.37389035,70.37281453
-25.74715939,28.36695139,675.3703934
-25.74642209,28.36852067,810.8602556
-25.74588892,28.36794044,294.2710342
-25.74414509,28.36735307,996.4281864
-25.74355208,28.36801312,11054.67964
-25.74228603,28.36750359,4947.823801
-25.74001386,28.36604439,249.2184429
-25.73998925,28.36634538,475.2798761
-25.7365642,28.36760294,46.22492935
-25.73501684,28.36698288,541.9835949
-25.73561787,28.3671814,98.64181145
-25.73570812,28.36708233,56.69931726
-25.73551474,28.36701384,136.68308
-25.73484992,28.36399261,448.3100704
-25.73418009,28.36638364,201.078455
-25.73284094,28.36645852,821.9597236
-25.7333336,28.3663294,49.03275036
-25.73345852,28.36633356,145.9655075
-25.73730984,28.36796339,66.29394117
-25.73752144,28.36478526,173.4734388
-25.73497485,28.36425677,110.4789194
-25.72991544,28.36636436,70.270248
-25.72998443,28.36701942,100.3762959
-25.72388319,28.35900333,876.7439588
-25.72400459,28.35870884,273.759755
-25.72392541,28.35860559,233.7090881
-25.72308825,28.35869923,82.50082361
-25.72246575,28.36031473,180.8449931
-25.72451608,28.36578369,251.6062676
-25.72397669,28.36601078,543.4622205
-25.7239242,28.36569529,162.0525073
-25.72439385,28.36453003,361.8661932
-25.72407352,28.3642166,139.7132873
-25.72397951,28.36392938,124.3479533
-25.72853506,28.37367135,362.2478164
-25.72586232,28.37985503,591.6178913
-25.72855654,28.37407596,45.40280338
-25.72854619,28.35718408,873.2505602
-25.72819049,28.35694135,182.0422068
-25.72667027,28.3579548,703.0443107
-25.72505895,28.35957687,93.33712579
-25.72545024,28.3608913,82.48622957
-25.72526436,28.36013668,181.425752
-25.73106148,28.35665705,2250.337656
-25.72970092,28.35701445,121.6208373
-25.73404832,28.35576798,1546.548103
-25.73437926,28.35485599,286.7840835
-25.73415243,28.35409206,276.6318151
-25.73387102,28.35215172,1749.050204
-25.73393217,28.3529411,846.8495427
-25.73413344,28.3534878,162.4436614
-25.73656702,28.35548596,1302.717348
-25.74024433,28.35606846,386.9601117
-25.74085389,28.35530731,130.1585756
-25.74117646,28.35460503,238.6846577
-25.74101855,28.35303685,400.5454304
-25.73821925,28.35193441,338.3471607
-25.73801055,28.35217536,115.8070954
-25.73731331,28.35355362,160.5382538
-25.73861367,28.35543086,177.2825772
-25.73633307,28.35177472,256.5012047
-25.73513969,28.35180985,984.946038
-25.73309528,28.34997539,118.2365055
-25.73403697,28.34909816,786.512282
-25.73409626,28.34942021,115.2814624
-25.73478298,28.3498149,51.94451971
-25.7351482,28.34995191,109.0134161
-25.74104862,28.35552566,143.3533852
-25.73921543,28.35491659,219.613626
-25.73983123,28.35390817,99.18466594
-25.73173856,28.34387543,150.3461017
-25.71604007,28.36143576,543.6130554
-25.71644007,28.36162787,132.7174708
-25.71140759,28.36871346,621.0331803
-25.71157782,28.36847455,350.9024199
-25.70931174,28.36792273,265.3546966
-25.70950553,28.36795846,78.02439604
-25.70789324,28.37213961,506.0119111
-25.70858918,28.37286979,319.6636081
-25.7130885,28.36655204,120.1446018
-25.71399857,28.36616143,435.4248204
-25.714352,28.36674408,217.2135492
-25.71405202,28.36907608,762.1787412
-25.71922175,28.3757639,228.9154109
-25.72066086,28.37770211,106.5211294
-25.72173179,28.37553418,195.4899962
-25.72147941,28.37545516,129.1700432
-25.72125768,28.37548195,57.30997208
-25.72154849,28.37566137,169.3898665
-25.72145132,28.37595026,50.94458357
-25.71858274,28.3585081,175.8541932
-25.71863566,28.35833529,115.3962287
-25.71806468,28.35576804,400.5255908
-25.71908868,28.35329293,86.87885681
-25.71933691,28.35255238,71.72901519
-25.71926529,28.35296984,66.86666674
-25.7204245,28.35366888,71.15078095
-25.72093317,28.35346496,328.57278
-25.72036493,28.3595574,465.0969228
-25.72082018,28.35826853,378.4732539
-25.72084006,28.3593043,184.5392573
-25.72883104,28.39112132,386.3407084
-25.72910226,28.39323436,395.0375013
-25.72959348,28.39551265,72.1189353
-25.72520398,28.39748165,2593.487933
-25.72579816,28.39825718,1089.104007
-25.72594117,28.39797882,209.1721712
-25.72997192,28.38796504,197.3878382
-25.73013903,28.38819947,164.3587806
-25.7277057,28.38687836,248.2316981
-25.72978614,28.39766368,89.45764727
-25.7309524,28.39619075,31.01096334
-25.73111765,28.39602632,21.91058526
-25.72946481,28.38765295,33.80842326
-25.72785731,28.38422062,51.62219745
-25.72658049,28.38445783,212.7083934
-25.72598176,28.38096565,67.76415041
-25.74046763,28.3864884,81.5969542
-26.06317146,27.90493801,153.888828
-26.0662463,27.90883336,77.1339458
-26.06842115,27.9119429,185.3791355
-26.27054625,27.86264349,76.44341125
-25.74038836,28.38422011,1150.113804
-25.74032977,28.38371076,126.2828271
-25.74032087,28.38338562,97.43030843
-25.74039496,28.38284372,134.5802148
-25.74135162,28.37537573,171.0198859
-25.74059503,28.37454657,93.89501069
-25.74076542,28.37412226,101.7450955
-25.7408664,28.37388735,31.2541051
-25.74094194,28.37383355,24.02360384
-25.74154126,28.37311585,253.8995781
-25.7415041,28.37291199,118.7950566
-25.74113563,28.37379241,49.41448901
-25.74188582,28.37243287,122.2651625
-25.74960784,28.35819858,2776.586163
-25.75001908,28.35785738,378.0303831
-25.75009691,28.35819922,190.2243908
-25.75024886,28.35797842,213.461053
-25.75317173,28.35337291,310.8588804
-25.75363084,28.35297999,84.10373251
-25.75369367,28.35272563,98.53304052
-25.75648574,28.35480233,4222.942963
-25.75722489,28.35418748,2051.021816
-25.75775428,28.35482244,149.2506868
-25.75788007,28.35505302,90.6278626
-25.72125411,28.34509017,136.0234469
-25.72130878,28.34490299,44.75318486
-25.72079117,28.34486116,59.4760584
-25.72089769,28.34397886,138.019566
-25.72076442,28.3440626,68.47473819
-25.71996169,28.34400315,3130.34878
-25.7193225,28.34377284,457.0157685
-25.71874411,28.34375575,197.5300247
-25.71834113,28.33243902,385.9554501
-25.71858718,28.33205147,965.7836735
-25.71891085,28.33242464,344.0265181
-25.71613799,28.32749172,328.0348651
-25.71614865,28.32783783,175.5683547
-25.71610248,28.32815798,191.0653116
-25.71615521,28.32675671,119.751766
-25.71613038,28.32584143,48.36461486
-25.71621812,28.32508114,244.9388387
-25.71623401,28.32341036,437.6962019
-25.71584222,28.32514322,786.2907004
-25.71523772,28.32631419,54.70884593
-25.71518629,28.32579259,56.09445678
-25.71589521,28.32357001,554.2016271
-25.71301133,28.32083,107.2323514
-25.7128168,28.32271036,269.7313004
-25.71310882,28.32312631,190.7553809
-25.71026095,28.32854516,424.6949321
-25.70965889,28.32914551,264.4727188
-25.70961139,28.32935729,234.2290583
-25.70903103,28.32920178,157.655103
-25.70928259,28.32821244,149.8328134
-25.70893423,28.32718633,283.6071159
-25.70878175,28.32455393,670.3663425
-25.70853657,28.32433809,181.1900256
-25.70672725,28.32395651,481.9683952
-25.70545666,28.32391648,442.4820564
-25.70441197,28.3191138,490.7479076
-25.70968957,28.32086773,285.3457412
-25.71461726,28.33699524,1360.694073
-25.71467959,28.33750209,47.97491912
-25.7147034,28.33594247,249.3607938
-25.70853071,28.33847521,87.22552853
-25.70817846,28.33805622,431.2105723
-25.70687803,28.33703115,182.3888868
-25.70774093,28.33754256,150.9192696
-25.70916673,28.33840461,347.6869438
-25.70952337,28.33876628,250.9319646
-25.71067451,28.34246044,76.10936532
-25.71063198,28.34227964,52.4855212
-25.71052463,28.34236075,67.76528927
-25.71026299,28.34542464,502.1557598
-25.70983207,28.34548965,421.142934
-25.70951883,28.34569948,120.5133273
-25.70950712,28.34508801,102.0140872
-25.70958089,28.34543381,139.2450803
-25.70763372,28.34614968,456.6583135
-25.707758,28.34569346,449.1051194
-25.70775209,28.34443669,89.37307524
-25.70712641,28.34197261,216.1294804
-25.70722749,28.34207423,33.83184706
-25.70731986,28.34207332,67.10329971
-25.70747031,28.34207121,50.60450276
-25.70760779,28.34210042,64.30869775
-25.70780673,28.34301723,59.64598277
-25.7033743,28.3360066,1270.101095
-25.70019278,28.33204158,222.5129548
-25.69968257,28.33107477,457.919824
-25.69646078,28.33079574,134.2206339
-25.69818521,28.32905907,672.8845803
-25.69835471,28.328552,137.205931
-25.70081787,28.33421843,231.6802601
-25.73972029,28.34700937,206.2978247
-25.74007097,28.34589904,149.7648494
-25.74002133,28.34679735,327.7123696
-25.74012435,28.34552904,104.3669487
-25.74639618,28.35386017,677.5578408
-25.74686555,28.35530563,168.9649487
-25.74685746,28.35497699,250.6910875
-25.74656688,28.35729454,513.8317879
-25.74652625,28.35686934,36.02306845
-25.74580699,28.3564802,102.6263345
-25.74593908,28.35656829,32.41345841
-25.74770403,28.36074564,169.3197872
-25.74778376,28.36155699,81.09874981
-25.74831785,28.36355137,270.9016962
-25.7480948,28.3637405,80.89571286
-25.7469111,28.36450831,572.9506297
-25.742744,28.35803726,353.5300628
-25.74254844,28.35824823,142.6958401
-25.742468,28.35799224,106.8246691
-25.74388919,28.34901249,842.7688912
-25.74418627,28.34768585,75.11471157
-25.74445578,28.34463097,596.7560328
-25.74460718,28.34556196,199.9926879
-25.74499148,28.34614471,79.79697992
-25.82299128,28.31669075,7517.690558
-25.82388905,28.31801008,6933.951465
-25.83054124,28.30872659,3799.710544
-25.82886096,28.30826073,3228.435236
-25.83215681,28.30903896,4578.227629
-25.83228044,28.30846728,721.3733526
-25.8313156,28.30521569,688.1757087
-25.83304181,28.30528028,701.4366886
-25.83829671,28.09146733,313.7120994
-25.83882998,28.09101785,234.6620374
-25.83888697,28.09079858,176.9429333
-25.83929461,28.09120276,298.7040438
-25.8362548,28.09276045,109.9799991
-25.84199226,28.09453351,351.4970067
-25.84085481,28.09344032,1561.220364
-25.84615062,28.09813932,621.032312
-25.85044644,28.09006781,9772.793055
-25.85103157,28.0912633,15412.68084
-25.85016288,28.0944496,53251.00711
-25.85048959,28.1003943,630.6327599
-25.85096261,28.10024392,707.4346067
