"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",4067.05650156552,3371.40970146471,4899.26705253122
"Std Dev (σ)",2.36673613768576,2.03280842670553,2.75351567555749
"Mark Precision (τ)",2.23567542962544,1.99043943589433,2.52123664094942
