"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",7639.45050147214,6192.87034505776,9394.57845369857
"Std Dev (σ)",3.35903184079878,2.79659730818423,4.02714952620027
"Mark Precision (τ)",0.774807184945486,0.682091498184352,0.884139571374544
