"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",3852.36617172779,2941.16154752167,4995.13893866351
"Std Dev (σ)",1.99292662879867,1.60053113754545,2.46133228861702
"Mark Precision (τ)",1.17957496806624,1.02411182041514,1.36392080234183
