"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",4217.94298512837,2716.96532366391,6420.03987327908
"Std Dev (σ)",1.55059075039484,1.12907451710831,2.10066427349586
"Mark Precision (τ)",1.51741235988151,1.27032256160114,1.83681428930394
