"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",3259.55108305764,1856.77841386308,5622.26786678911
"Std Dev (σ)",1.36354365641274,0.943253792287141,1.92569623944937
"Mark Precision (τ)",1.08514986351155,0.798335954724313,1.53197409891288
