"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",2332.53834003796,1633.2466426945,3263.10340690724
"Std Dev (σ)",1.20681573261775,0.921886257631415,1.54852796274466
"Mark Precision (τ)",1.0061699185585,0.738616217716728,1.41120431769906
