"Parameter","Estimate","CI.Lower","CI.Upper"
"Range (m)",4434.76344533658,2732.76934758898,7026.14709325379
"Std Dev (σ)",1.43555988076044,1.00190176937885,2.02610092005767
"Mark Precision (τ)",1.14207809960369,0.961947807510395,1.37091786628659
